Taxon	Scaffold	IsPartial	Gene1	Gene2	Sep	Code	Strand1	Strand2	Type1	Type2	MOGScore	COGSim	ExprSim	GOScore
511145	7023	0	14182	14183	109	Same	-	-	1	1	0	Y	0.237	0.026
511145	7023	0	14183	14184	74	Same	-	-	1	1	0.15385	N	0.345	0.026
511145	7023	0	14184	14185	129	Same	-	-	1	1	0.52941	N	0.543	1.000
511145	7023	0	14185	14186	31	Same	-	-	1	1	0.11765	N	0.423	1.000
511145	7023	0	14186	14187	472	Divergent	-	+	1	1	0	N	0.484	1.000
511145	7023	0	14187	14188	15	Same	+	+	1	1	0.23077	Y	0.457	0.023
511145	7023	0	14188	14189	51	Same	+	+	1	1	0	Y	0.515	0.069
511145	7023	0	14189	14190	-3	Same	+	+	1	1	0.16667	Y	0.410	0.069
511145	7023	0	14190	14191	57	Same	+	+	1	1	0	N	0.311	1.000
511145	7023	0	14191	14192	108	Same	+	+	1	1	0		0.149	1.000
511145	7023	0	14192	14193	-7	Same	+	+	1	1	0.56		0.268	1.000
511145	7023	0	14193	14194	192	Same	+	+	1	1	0.01241	N	-0.001	1.000
511145	7023	0	14194	14195	78	Convergent	+	-	1	1	0.10174	N	0.260	1.000
511145	7023	0	14195	14196	7	Same	-	-	1	1	0.26741	N	0.566	
511145	7023	0	14196	14197	3	Same	-	-	1	1	0.07792	N	0.779	
511145	7023	0	14197	14198	-3	Same	-	-	1	1	0.19654	N	0.565	1.000
511145	7023	0	14198	14199	0	Same	-	-	1	1	0.56145	N	0.594	1.000
511145	7023	0	14199	14200	53	Same	-	-	1	1	0.18156	N	0.566	1.000
511145	7023	0	14200	14201	255	Divergent	-	+	1	1	0.08727	N	0.277	1.000
511145	7023	0	14201	3446137	295	Same	+	+	1	7	0		0.402	
511145	7023	0	3446137	14204	418	Convergent	+	-	7	1	0		0.125	
511145	7023	0	14204	14205	12	Same	-	-	1	1	0.29371	N	0.622	1.000
511145	7023	0	14205	14206	165	Same	-	-	1	1	0.0979	Y	0.243	0.074
511145	7023	0	14206	14207	75	Same	-	-	1	1	0.01818	N	0.372	1.000
511145	7023	0	14207	14208	285	Same	-	-	1	1	0.01724	Y	0.816	1.000
511145	7023	0	14208	14209	11	Same	-	-	1	1	0.13793	N	0.908	1.000
511145	7023	0	14209	14210	339	Divergent	-	+	1	1	0	N	0.346	1.000
511145	7023	0	14210	14211	86	Same	+	+	1	1	0.16667		0.173	
511145	7023	0	14211	14212	114	Convergent	+	-	1	1	0.07237		0.097	
511145	7023	0	14212	14213	-16	Same	-	-	1	1	0.52247	N	0.575	0.018
511145	7023	0	14213	14214	-24	Same	-	-	1	1	0.69712	N	0.673	0.083
511145	7023	0	14214	14215	164	Same	-	-	1	1	0.00962		0.154	0.083
511145	7023	0	14215	1936206	68	Divergent	-	+	1	6	0		-0.166	
511145	7023	0	1936206	7497338	-152	Same	+	+	6	1	0			
511145	7023	0	7497338	1936207	102	Same	+	+	1	1	0.35714			
511145	7023	0	1936207	14217	49	Convergent	+	-	1	1	0.0814	N	0.070	1.000
511145	7023	0	14217	14218	11	Same	-	-	1	1	0.30916	Y	0.875	0.001
511145	7023	0	14218	14219	3	Same	-	-	1	1	0.27481	Y	0.905	0.002
511145	7023	0	14219	14220	0	Same	-	-	1	1	0.12561	Y	0.870	0.002
511145	7023	0	14220	14221	93	Same	-	-	1	1	0.00979		0.532	0.002
511145	7023	0	14221	14222	660	Divergent	-	+	1	1	0		0.181	1.000
511145	7023	0	14222	1936210	318	Same	+	+	1	1	0	N	0.144	1.000
511145	7023	0	1936210	14224	3	Same	+	+	1	1	0.37131	Y	0.663	0.002
511145	7023	0	14224	14226	180	Same	+	+	1	1	0.06349	N	-0.007	1.000
511145	7023	0	14226	14227	602	Same	+	+	1	1	0		0.260	
511145	7023	0	14227	14228	2	Same	+	+	1	1	0.63508		0.789	
511145	7023	0	14228	14229	-3	Same	+	+	1	1	0.22681	N	0.735	1.000
511145	7023	0	14229	14230	16	Same	+	+	1	1	0.1245	N	0.293	1.000
511145	7023	0	14230	14231	-13	Same	+	+	1	1	0.05906	Y	0.463	1.000
511145	7023	0	14231	14232	-3	Same	+	+	1	1	0.5689	Y	0.772	0.002
511145	7023	0	14232	14233	-6	Same	+	+	1	1	0.30897	Y	0.562	0.005
511145	7023	0	14233	14234	3	Same	+	+	1	1	0.64662	Y	0.638	0.005
511145	7023	0	14234	14235	0	Same	+	+	1	1	0.29735	N	0.634	0.003
511145	7023	0	14235	14236	-3	Same	+	+	1	1	0.64738	N	0.643	1.000
511145	7023	0	14236	14237	54	Same	+	+	1	1	0.28344	Y	0.544	1.000
511145	7023	0	14237	14238	-7	Same	+	+	1	1	0.15287	Y	0.336	0.005
511145	7023	0	14238	14239	2	Same	+	+	1	1	0.3723	Y	0.613	
511145	7023	0	14239	14240	-3	Same	+	+	1	1	0.38882	N	0.740	
511145	7023	0	14240	14241	61	Same	+	+	1	1	0.4604	Y	0.718	1.000
511145	7023	0	14241	14242	101	Same	+	+	1	1	0.13411	N	0.398	1.000
511145	7023	0	14242	14243	231	Same	+	+	1	1	0		0.193	1.000
511145	7023	0	14243	14244	62	Same	+	+	1	1	0.06534		0.620	1.000
511145	7023	0	14244	14245	60	Same	+	+	1	1	0.16761	N	0.418	1.000
511145	7023	0	14245	14247	216	Convergent	+	-	1	1	0.14765		0.133	1.000
511145	7023	0	14247	14248	10	Same	-	-	1	1	0.3557		0.354	
511145	7023	0	14248	14249	0	Same	-	-	1	1	0.11041		0.682	
511145	7023	0	14249	14250	225	Divergent	-	+	1	1	0.00362	N	0.040	1.000
511145	7023	0	14250	14252	35	Convergent	+	-	1	1	0.38095	N	-0.056	1.000
511145	7023	0	14252	14253	-10	Same	-	-	1	1	0.57143	Y	0.502	1.000
511145	7023	0	14253	14254	10	Same	-	-	1	1	0.55556	Y	0.319	
511145	7023	0	14254	14255	203	Same	-	-	1	1	0.01483	N	-0.005	
511145	7023	0	14255	14256	88	Divergent	-	+	1	1	0.04821	N	0.416	1.000
511145	7023	0	14256	14257	-3	Same	+	+	1	1	0.24891	Y	0.428	1.000
511145	7023	0	14257	14258	43	Convergent	+	-	1	1	0.06944	N	0.282	1.000
511145	7023	0	14258	14259	541	Divergent	-	+	1	1	0	N	-0.027	1.000
511145	7023	0	14259	14260	161	Same	+	+	1	1	0.27619	N	0.565	1.000
511145	7023	0	14260	14261	15	Same	+	+	1	1	0.22026	Y	0.916	1.000
511145	7023	0	14261	14262	325	Same	+	+	1	1	0.46256	Y	0.681	1.000
511145	7023	0	14262	14263	71	Convergent	+	-	1	1	0		-0.219	
511145	7023	0	14263	14264	355	Divergent	-	+	1	1	0		-0.108	
511145	7023	0	14264	14265	176	Same	+	+	1	1	0.0684		-0.145	
511145	7023	0	14265	14266	38	Convergent	+	-	1	1	0.05195		-0.396	
511145	7023	0	14266	14267	16	Same	-	-	1	1	0.16234	Y	0.901	1.000
511145	7023	0	14267	14268	106	Same	-	-	1	1	0.35417		0.287	
511145	7023	0	14268	14269	166	Divergent	-	+	1	1	0.34483		-0.038	
511145	7023	0	14269	14270	202	Convergent	+	-	1	1	0.26667	N	-0.007	1.000
511145	7023	0	14270	14271	206	Divergent	-	+	1	1	0.01258	N	-0.235	1.000
511145	7023	0	14271	14272	41	Convergent	+	-	1	1	0.06918	N	0.549	1.000
511145	7023	0	14272	14273	109	Divergent	-	+	1	1	0.11475	N	0.362	1.000
511145	7023	0	14273	14274	-3	Same	+	+	1	1	0.68807	Y	0.365	1.000
511145	7023	0	14274	14275	105	Same	+	+	1	1	0.0367	N	0.288	1.000
511145	7023	0	14275	14276	64	Same	+	+	1	1	0.22222	Y	0.320	1.000
511145	7023	0	14276	14277	4	Convergent	+	-	1	1	0.01776	N	-0.181	1.000
511145	7023	0	14277	14278	274	Divergent	-	+	1	1	0		0.163	
511145	7023	0	14278	14279	74	Convergent	+	-	1	1	0.00227		0.110	
511145	7023	0	14279	14280	12	Same	-	-	1	1	0.39462	Y	0.703	0.001
511145	7023	0	14280	14281	114	Same	-	-	1	1	0	N	-0.202	1.000
511145	7023	0	14281	14282	50	Same	-	-	1	1	0	Y	0.429	0.011
511145	7023	0	14282	14283	27	Same	-	-	1	1	0.57143		0.574	0.011
511145	7023	0	14283	14284	12	Same	-	-	1	1	0.57143		0.587	0.011
511145	7023	0	14284	14285	17	Same	-	-	1	1	0.57143	Y	0.309	1.000
511145	7023	0	14285	14286	35	Same	-	-	1	1	1	Y	0.355	1.000
511145	7023	0	14286	14287	98	Same	-	-	1	1	0.5	Y	0.293	1.000
511145	7023	0	14287	14288	370	Same	-	-	1	1	0	N	0.057	1.000
511145	7023	0	14288	14289	-3	Same	-	-	1	1	0.23402	N	0.578	1.000
511145	7023	0	14289	14290	60	Same	-	-	1	1	0.13092	Y	0.390	1.000
511145	7023	0	14290	14291	37	Same	-	-	1	1	0.2312	N	0.401	1.000
511145	7023	0	14291	14292	178	Same	-	-	1	1	0.15075		0.585	
511145	7023	0	14292	14293	15	Same	-	-	1	1	0.0446		-0.156	
511145	7023	0	14293	14294	74	Divergent	-	+	1	1	0.05869	N	0.137	1.000
511145	7023	0	14294	14295	196	Same	+	+	1	1	0.15774	N	0.231	1.000
511145	7023	0	14295	14296	220	Same	+	+	1	1	0	N	0.084	1.000
511145	7023	0	14296	14297	51	Same	+	+	1	1	0.15625	Y	0.524	1.000
511145	7023	0	14297	14298	0	Same	+	+	1	1	0.03125	Y	0.691	1.000
511145	7023	0	14298	14299	-3	Same	+	+	1	1	0	Y	0.534	1.000
511145	7023	0	14299	14300	158	Convergent	+	-	1	1	0	N	0.081	1.000
511145	7023	0	14300	14301	225	Divergent	-	+	1	1	0.04511	N	-0.051	1.000
511145	7023	0	14301	14302	82	Same	+	+	1	1	0.03141		0.269	
511145	7023	0	14302	14303	47	Convergent	+	-	1	1	0.01571		0.159	
511145	7023	0	14303	14304	38	Same	-	-	1	1	0.21311		0.152	
511145	7023	0	14304	14305	-7	Same	-	-	1	1	0.07302	N	0.380	1.000
511145	7023	0	14305	14306	84	Divergent	-	+	1	1	0.06984	Y	0.130	1.000
511145	7023	0	14306	14307	130	Same	+	+	1	1	0.10119	N	0.173	1.000
511145	7023	0	14307	14308	155	Same	+	+	1	1	0.08	N	0.104	
511145	7023	0	14308	14309	89	Convergent	+	-	1	1	0.06		0.133	
511145	7023	0	14309	14310	162	Same	-	-	1	1	0		0.035	
511145	7023	0	14310	14312	54	Same	-	-	1	1	0		-0.137	1.000
511145	7023	0	14312	14313	31	Same	-	-	1	1	0.09693	N	0.092	1.000
511145	7023	0	14313	14314	62	Same	-	-	1	1	0.24314	N	0.343	1.000
511145	7023	0	14314	1936221	206	Divergent	-	+	1	6	0		0.661	
511145	7023	0	1936221	14315	27	Same	+	+	6	1	0		0.931	
511145	7023	0	14315	14316	258	Same	+	+	1	1	0.74848	Y	0.813	1.000
511145	7023	0	14316	14317	147	Same	+	+	1	1	0.416	N	0.867	1.000
511145	7023	0	14317	14318	292	Same	+	+	1	1	0.62608	N	0.680	1.000
511145	7023	0	14318	14319	92	Same	+	+	1	1	0.03164	N	0.309	1.000
511145	7023	0	14319	14320	186	Same	+	+	1	1	0.02534	Y	0.461	1.000
511145	7023	0	14320	14321	13	Same	+	+	1	1	0.40021	Y	0.690	1.000
511145	7023	0	14321	14322	12	Same	+	+	1	1	0.0795	N	0.659	1.000
511145	7023	0	14322	14323	30	Same	+	+	1	1	0.20373	Y	0.776	1.000
511145	7023	0	14323	14324	122	Same	+	+	1	1	0.35427	Y	0.636	1.000
511145	7023	0	14324	14325	4	Same	+	+	1	1	0.81448	Y	0.699	1.000
511145	7023	0	14325	14326	105	Same	+	+	1	1	0.79638	N	0.715	1.000
511145	7023	0	14326	14327	4	Same	+	+	1	1	0.85	N	0.799	1.000
511145	7023	0	14327	14328	0	Same	+	+	1	1	0.28859	Y	0.497	1.000
511145	7023	0	14328	14329	-3	Same	+	+	1	1	0.18648	N	0.603	1.000
511145	7023	0	14329	14330	37	Same	+	+	1	1	0.1036	Y	0.649	1.000
511145	7023	0	14330	14331	13	Same	+	+	1	1	0.12184	N	0.592	1.000
511145	7023	0	14331	14332	99	Same	+	+	1	1	0.00976	N	-0.413	1.000
511145	7023	0	14332	14333	57	Same	+	+	1	1	0.03865	Y	0.542	1.000
511145	7023	0	14333	14334	65	Same	+	+	1	1	0.01451	N	-0.044	1.000
511145	7023	0	14334	14335	49	Convergent	+	-	1	1	0.01257	N	-0.156	
511145	7023	0	14335	1936225	-7	Same	-	-	1	1	0.17857		0.739	
511145	7023	0	1936225	14336	166	Divergent	-	+	1	1	0.04972		0.049	
511145	7023	0	14336	14337	-3	Same	+	+	1	1	0.03394		0.448	1.000
511145	7023	0	14337	14338	14	Same	+	+	1	1	0.02715		0.423	
511145	7023	0	14338	14339	200	Convergent	+	-	1	1	0.04		0.206	
511145	7023	0	14339	14340	54	Same	-	-	1	1	0.00242		-0.098	
511145	7023	0	14340	14341	112	Same	-	-	1	1	0.04848		0.155	
511145	7023	0	14341	14342	-3	Same	-	-	1	1	0.24684		0.111	
511145	7023	0	14342	14343	118	Same	-	-	1	1	0.5		0.299	
511145	7023	0	14343	14344	40	Same	-	-	1	1	0.41071	Y	0.775	0.070
511145	7023	0	14344	14345	-7	Same	-	-	1	1	0.58427	Y	0.811	1.000
511145	7023	0	14345	14346	188	Divergent	-	+	1	1	0.13575	N	0.370	1.000
511145	7023	0	14346	1936227	363	Same	+	+	1	3	0		-0.025	
511145	7023	0	1936227	1936228	69	Same	+	+	3	5	0			
511145	7023	0	1936228	1936229	43	Same	+	+	5	5	0			
511145	7023	0	1936229	1936230	184	Same	+	+	5	2	0			
511145	7023	0	1936230	1936231	94	Same	+	+	2	4	0			
511145	7023	0	1936231	1936232	53	Same	+	+	4	5	0			
511145	7023	0	1936232	14347	163	Same	+	+	5	1	0			
511145	7023	0	14347	14348	-3	Convergent	+	-	1	1	0.02899		-0.078	1.000
511145	7023	0	14348	14349	241	Divergent	-	+	1	1	0		0.312	
511145	7023	0	14349	14350	4	Same	+	+	1	1	0.06618		0.533	
511145	7023	0	14350	14351	48	Convergent	+	-	1	1	0.05521	N	-0.102	1.000
511145	7023	0	14351	14352	72	Same	-	-	1	1	0.23279		-0.103	1.000
511145	7023	0	14352	14353	34	Divergent	-	+	1	1	0.14575		0.216	1.000
511145	7023	0	14353	14354	-3	Convergent	+	-	1	1	0.11059		0.249	1.000
511145	7023	0	14354	14355	65	Divergent	-	+	1	1	0.24766	Y	0.330	1.000
511145	7023	0	14355	1936234	133	Same	+	+	1	5	0			
511145	7023	0	1936234	14356	328	Same	+	+	5	1	0			
511145	7023	0	14356	3446138	137	Convergent	+	-	1	1	0		0.379	
511145	7023	0	3446138	14357	10	Same	-	-	1	7	0		0.708	
511145	7023	0	14357	1936235	4	Divergent	-	+	7	7	0			
511145	7023	0	1936235	14358	41	Convergent	+	-	7	1	0			
511145	7023	0	14358	14359	154	Divergent	-	+	1	1	0		0.155	
511145	7023	0	14359	14360	43	Convergent	+	-	1	1	0		-0.050	
511145	7023	0	14360	14361	240	Divergent	-	+	1	1	0.0303	N	-0.143	1.000
511145	7023	0	14361	14362	206	Same	+	+	1	1	0.22872		0.321	1.000
511145	7023	0	14362	14363	-29	Convergent	+	-	1	1	0.11702		0.581	
511145	7023	0	14363	14364	156	Same	-	-	1	1	0		0.318	
511145	7023	0	14364	14365	3	Same	-	-	1	1	0.16667		0.475	
511145	7023	0	14365	14366	210	Divergent	-	+	1	1	0	N	0.106	
511145	7023	0	14366	14367	176	Same	+	+	1	1	0	N	0.083	
511145	7023	0	14367	14368	224	Convergent	+	-	1	1	0	N	0.284	1.000
511145	7023	0	14368	14369	2	Divergent	-	+	1	7	0		0.310	
511145	7023	0	14369	14370	71	Same	+	+	7	1	0		0.106	
511145	7023	0	14370	14371	52	Same	+	+	1	1	0	N	0.587	
511145	7023	0	14371	14372	3	Same	+	+	1	1	0.5		0.488	
511145	7023	0	14372	14373	10	Same	+	+	1	1	0		0.450	
511145	7023	0	14373	14374	318	Same	+	+	1	7	0		0.446	
511145	7023	0	14374	14375	17	Same	+	+	7	1	0		0.492	
511145	7023	0	14375	14376	57	Convergent	+	-	1	1	0.01242	N	-0.029	1.000
511145	7023	0	14376	14377	261	Divergent	-	+	1	1	0.06211	N	0.079	1.000
511145	7023	0	14377	14378	92	Same	+	+	1	1	0.04		0.036	
511145	7023	0	14378	14379	58	Same	+	+	1	1	0.04762		0.098	
511145	7023	0	14379	14380	39	Convergent	+	-	1	1	0.19048		0.142	
511145	7023	0	14380	14381	288	Divergent	-	+	1	1	0	N	-0.072	1.000
511145	7023	0	14381	14382	12	Same	+	+	1	1	0.02611	Y	0.612	0.001
511145	7023	0	14382	1936238	115	Same	+	+	1	5	0		0.507	
511145	7023	0	1936238	3446140	204	Convergent	+	-	5	7	0		-0.178	
511145	7023	0	3446140	14383	116	Same	-	-	7	1	0		0.208	
511145	7023	0	14383	14384	21	Same	-	-	1	1	0.66667		0.377	
511145	7023	0	14384	1936239	19	Same	-	-	1	1	0		0.728	
511145	7023	0	1936239	14385	9	Same	-	-	1	1	0		0.619	
511145	7023	0	14385	14386	16	Same	-	-	1	1	0		0.240	
511145	7023	0	14386	14387	98	Same	-	-	1	1	0		0.515	
511145	7023	0	14387	14388	77	Same	-	-	1	1	0		0.280	
511145	7023	0	14388	14389	23	Same	-	-	1	1	0		0.489	
511145	7023	0	14389	3446142	0	Same	-	-	1	7	0			
511145	7023	0	3446142	3446144	2	Same	-	-	7	7	0			
511145	7023	0	3446144	14390	217	Same	-	-	7	1	0		0.640	
511145	7023	0	14390	14391	92	Same	-	-	1	1	0		0.379	
511145	7023	0	14391	14392	329	Same	-	-	1	1	0		0.388	0.054
511145	7023	0	14392	3446146	96	Divergent	-	+	1	7	0		-0.284	
511145	7023	0	3446146	14394	68	Same	+	+	7	1	0			
511145	7023	0	14394	7497339	826	Same	+	+	1	6	0			
511145	7023	0	7497339	14396	193	Same	+	+	6	7	0			
511145	7023	0	14396	14397	147	Convergent	+	-	7	1	0		0.118	
511145	7023	0	14397	14398	208	Divergent	-	+	1	1	0	N	-0.030	1.000
511145	7023	0	14398	14399	-13	Same	+	+	1	1	0.14667	Y	0.222	1.000
511145	7023	0	14399	14400	109	Convergent	+	-	1	1	0.02667	Y	0.154	1.000
511145	7023	0	14400	14401	12	Same	-	-	1	7	0		0.389	
511145	7023	0	14401	14402	17	Same	-	-	7	1	0		0.188	
511145	7023	0	14402	14403	-81	Same	-	-	1	1	0	Y	0.685	0.015
511145	7023	0	14403	1936246	239	Same	-	-	1	7	0			0.015
511145	7023	0	1936246	14404	65	Same	-	-	7	7	0		0.511	
511145	7023	0	14404	14405	94	Same	-	-	7	1	0		0.104	
511145	7023	0	14405	14406	274	Divergent	-	+	1	1	0	N	0.207	1.000
511145	7023	0	14406	14407	15	Same	+	+	1	1	0.75	Y	0.440	0.064
511145	7023	0	14407	14408	227	Same	+	+	1	1	0	Y	0.409	1.000
511145	7023	0	14408	14409	12	Same	+	+	1	1	0.27273	Y	0.513	1.000
511145	7023	0	14409	14410	5	Convergent	+	-	1	1	0.375	N	0.337	1.000
511145	7023	0	14410	14411	139	Same	-	-	1	1	0.375	N	0.417	1.000
511145	7023	0	14411	7497340	124	Divergent	-	+	1	7	0			
511145	7023	0	7497340	14412	16	Convergent	+	-	7	1	0			
511145	7023	0	14412	14413	-81	Same	-	-	1	1	0	Y	0.676	0.015
511145	7023	0	14413	14414	58	Divergent	-	+	1	7	0		0.113	
511145	7023	0	14414	14415	91	Convergent	+	-	7	1	0		0.383	
511145	7023	0	14415	14416	272	Same	-	-	1	1	0		0.432	
511145	7023	0	14416	14417	27	Same	-	-	1	1	0		0.521	
511145	7023	0	14417	14418	340	Same	-	-	1	1	0		-0.161	
511145	7023	0	14418	14419	117	Same	-	-	1	1	0		0.416	
511145	7023	0	14419	3446148	110	Divergent	-	+	1	8	0			
511145	7023	0	3446148	7497341	127	Convergent	+	-	8	7	0			
511145	7023	0	7497341	7497342	-5	Same	-	-	7	7	0			
511145	7023	0	7497342	14421	-21	Same	-	-	7	1	0			
511145	7023	0	14421	14422	10	Same	-	-	1	1	0.11111	N	0.498	
511145	7023	0	14422	14423	-3	Same	-	-	1	1	0.91667	Y	0.656	0.001
511145	7023	0	14423	14424	-3	Same	-	-	1	1	0.70455	Y	0.636	0.068
511145	7023	0	14424	14425	418	Divergent	-	+	1	1	0		0.126	
511145	7023	0	14425	14426	248	Convergent	+	-	1	1	0		0.218	
511145	7023	0	14426	14427	313	Same	-	-	1	1	0		0.359	
511145	7023	0	14427	14428	-31	Same	-	-	1	1	0.28571		0.503	
511145	7023	0	14428	14429	-10	Same	-	-	1	1	0		0.555	
511145	7023	0	14429	14430	26	Same	-	-	1	1	0.30769		0.626	
511145	7023	0	14430	14431	58	Same	-	-	1	1	0.38462		0.541	
511145	7023	0	14431	14432	75	Same	-	-	1	1	0.4		0.358	
511145	7023	0	14432	14433	776	Divergent	-	+	1	1	0		0.343	
511145	7023	0	14433	1936249	35	Convergent	+	-	1	1	0		0.501	
511145	7023	0	1936249	14434	0	Same	-	-	1	1	0.00394		0.875	0.015
511145	7023	0	14434	7497343	364	Same	-	-	1	1	0			
511145	7023	0	7497343	3446150	474	Same	-	-	1	7	0			
511145	7023	0	3446150	14435	552	Divergent	-	+	7	7	0			
511145	7023	0	14435	14436	63	Same	+	+	7	1	0		0.223	
511145	7023	0	14436	14437	-3	Same	+	+	1	1	0		0.278	0.072
511145	7023	0	14437	14438	33	Convergent	+	-	1	7	0		0.315	
511145	7023	0	14438	3446152	270	Divergent	-	+	7	7	0		0.452	
511145	7023	0	3446152	14439	159	Convergent	+	-	7	1	0		0.540	
511145	7023	0	14439	14441	12	Same	-	-	1	1	0.04348		0.357	
511145	7023	0	14441	14442	109	Same	-	-	1	1	0.66667		0.315	
511145	7023	0	14442	14443	226	Divergent	-	+	1	1	0	N	0.319	1.000
511145	7023	0	14443	14444	527	Same	+	+	1	1	0	N	0.168	
511145	7023	0	14444	14445	11	Same	+	+	1	1	0.28571	Y	0.528	
511145	7023	0	14445	14446	-7	Same	+	+	1	1	0.28571		0.482	0.001
511145	7023	0	14446	14448	243	Convergent	+	-	1	1	0		0.238	
511145	7023	0	14448	14449	213	Same	-	-	1	1	0		0.333	
511145	7023	0	14449	14450	14	Same	-	-	1	1	0.63372	N	0.569	1.000
511145	7023	0	14450	14451	14	Same	-	-	1	1	0.4593	N	0.676	1.000
511145	7023	0	14451	14452	129	Divergent	-	+	1	1	0.04065	N	0.530	1.000
511145	7023	0	14452	14453	875	Same	+	+	1	1	0	N	0.069	1.000
511145	7023	0	14453	14454	42	Convergent	+	-	1	1	0	N	0.289	0.065
511145	7023	0	14454	14455	92	Same	-	-	1	1	0		0.120	
511145	7023	0	14455	14456	258	Divergent	-	+	1	1	0		0.471	
511145	7023	0	14456	14457	40	Same	+	+	1	1	0.66667		0.008	
511145	7023	0	14457	14458	-10	Same	+	+	1	1	0.42857		0.242	
511145	7023	0	14458	14459	0	Same	+	+	1	1	0.71429		0.237	
511145	7023	0	14459	14461	422	Same	+	+	1	1	0.125		0.332	
511145	7023	0	14461	14462	10	Same	+	+	1	1	0.27778	N	0.115	1.000
511145	7023	0	14462	14463	377	Same	+	+	1	1	0		-0.041	1.000
511145	7023	0	14463	14464	243	Same	+	+	1	1	0		0.093	
511145	7023	0	14464	14465	413	Same	+	+	1	1	0		0.314	
511145	7023	0	14465	14466	17	Convergent	+	-	1	1	0		0.096	
511145	7023	0	14466	14467	147	Divergent	-	+	1	1	0.22222		0.371	
511145	7023	0	14467	14468	98	Convergent	+	-	1	1	0.08824		0.439	
511145	7023	0	14468	14469	239	Divergent	-	+	1	1	0.01674	N	0.526	1.000
511145	7023	0	14469	14471	440	Same	+	+	1	1	0.50164	N	0.758	1.000
511145	7023	0	14471	14472	34	Same	+	+	1	1	0.21639		0.806	1.000
511145	7023	0	14472	14473	40	Same	+	+	1	1	0.03846		0.749	0.001
511145	7023	0	14473	14474	330	Same	+	+	1	1	0	N	0.022	1.000
511145	7023	0	14474	14475	-10	Same	+	+	1	1	0.25	Y	0.823	1.000
511145	7023	0	14475	14476	337	Convergent	+	-	1	1	0	N	0.159	1.000
511145	7023	0	14476	14477	109	Divergent	-	+	1	1	0.31818	N	0.254	1.000
511145	7023	0	14477	14478	31	Same	+	+	1	1	0.07487	Y	0.484	1.000
511145	7023	0	14478	14479	33	Same	+	+	1	1	0	Y	0.510	1.000
511145	7023	0	14479	14480	103	Convergent	+	-	1	1	0		0.525	1.000
511145	7023	0	14480	14481	66	Same	-	-	1	1	0.22222		0.724	1.000
511145	7023	0	14481	14482	52	Same	-	-	1	1	0.26087		0.554	1.000
511145	7023	0	14482	14483	123	Same	-	-	1	1	0.17391	N	-0.034	1.000
